index,project name,street name,tenure,type of sale,no. of units,price,nett price,areasq,type of area,floor level,unit price psf,date of sale,market segment_CCR,market segment_OCR,market segment_RCR,postal district_2.0,postal district_3.0,postal district_4.0,postal district_5.0,postal district_8.0,postal district_9.0,postal district_10.0,postal district_11.0,postal district_12.0,postal district_13.0,postal district_14.0,postal district_15.0,postal district_16.0,postal district_17.0,postal district_18.0,postal district_19.0,postal district_20.0,postal district_21.0,postal district_22.0,postal district_23.0,postal district_25.0,postal district_26.0,postal district_27.0,postal district_28.0,type_Detached,type_Semi-detached,type_Terrace
3816,ORCHID VILLAGE,VANDA AVENUE,999,Resale,1.0,12380000.0,-,8775.0,Land,-,1411.0,Feb-2019,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3817,LANDED HOUSING DEVELOPMENT,CORONATION ROAD,853,Resale,1.0,13600000.0,-,9637.0,Land,-,1411.0,Apr-2021,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3818,LANDED HOUSING DEVELOPMENT,SOO CHOW DRIVE,999,Resale,1.0,2500000.0,-,1772.0,Land,-,1411.0,Apr-2017,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
3819,SELETAR HILLS ESTATE,JALAN REDOP,857,New Sale,1.0,5050000.0,-,3579.0,Land,-,1411.0,Sep-2018,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
3820,NIM COLLECTION,NIM RISE,94,New Sale,1.0,2780000.0,-,1970.0,Land,-,1411.0,Aug-2018,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
3821,CLEMENTI GARDENS,CLEMENTI CRESCENT,999,Resale,1.0,4760000.0,-,3372.0,Land,-,1411.0,Mar-2017,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
3822,THE SPRINGSIDE,SPRINGSIDE WALK,999,Resale,1.0,2420000.0,-,1715.0,Land,-,1411.0,Mar-2018,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
3823,NANYANG PARK,YIO CHU KANG ROAD,859,Resale,1.0,6150000.0,-,4359.0,Land,-,1411.0,Feb-2021,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
3824,SPRINGBROOK TERRACE,JALAN MARIAM,999,Resale,1.0,2370000.0,-,1680.0,Land,-,1410.0,May-2021,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
3825,KEMBANGAN VILLAS,LENGKONG TIGA,999,Resale,1.0,3980000.0,-,2822.0,Land,-,1410.0,Jun-2021,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3826,CASHEW VILLAS,CASHEW CRESCENT,861,Resale,1.0,2280000.0,-,1617.0,Land,-,1410.0,Nov-2017,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
3827,PEAKVIEW ESTATE,PEAKVILLE AVENUE,999,Resale,1.0,2520000.0,-,1787.0,Land,-,1410.0,Feb-2021,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3828,OPERA ESTATE,FIDELIO STREET,999,Resale,1.0,2300000.0,-,1631.0,Land,-,1410.0,Sep-2017,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3829,LANDED HOUSING DEVELOPMENT,UPPER EAST COAST ROAD,999,Resale,1.0,4380000.0,-,3105.0,Land,-,1410.0,Jun-2018,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3830,EAST COAST HILL,SENNETT LANE,999,Resale,1.0,5500000.0,-,3900.0,Land,-,1410.0,Nov-2017,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3831,SERANGOON GARDEN ESTATE,BURGHLEY DRIVE,933,Resale,1.0,3950000.0,-,2801.0,Land,-,1410.0,Dec-2017,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
3832,LANDED HOUSING DEVELOPMENT,LORONG N TELOK KURAU,999,Resale,1.0,3500000.0,-,2483.0,Land,-,1409.0,May-2019,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3833,OASIS @ MULBERRY,CHEMPAKA AVENUE,999,Resale,1.0,3388888.0,-,2406.0,Land,-,1409.0,Jan-2020,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3834,LANDED HOUSING DEVELOPMENT,JALAN SEAVIEW,999,Resale,1.0,4550000.0,-,3230.0,Land,-,1409.0,May-2019,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3835,LANDED HOUSING DEVELOPMENT,NAMLY GROVE,999,Resale,1.0,10900000.0,-,7737.0,Land,-,1409.0,Aug-2017,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3836,LANDED HOUSING DEVELOPMENT,DUKU PLACE,999,Resale,1.0,2500000.0,-,1775.0,Land,-,1408.0,Dec-2020,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3837,BEDOK RIA,BEDOK RIA CRESCENT,999,Resale,1.0,2500000.0,-,1775.0,Land,-,1408.0,Sep-2019,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3838,THE SPRINGSIDE,SPRINGSIDE DRIVE,999,Resale,1.0,2600000.0,-,1847.0,Land,-,1408.0,Jun-2018,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
3839,SERANGOON GARDEN ESTATE,HYTHE ROAD,933,Resale,1.0,3050000.0,-,2166.0,Land,-,1408.0,Mar-2018,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
3840,BANYAN PARK,CHWEE CHIAN ROAD,999,Resale,1.0,3030000.0,-,2152.0,Land,-,1408.0,Apr-2017,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3841,SERANGOON GARDEN ESTATE,MORETON CLOSE,931,Resale,1.0,4925000.0,-,3498.0,Land,-,1408.0,Jul-2020,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
3842,LANDED HOUSING DEVELOPMENT,SALAM WALK,999,Resale,1.0,2370000.0,-,1683.0,Land,-,1408.0,Jun-2017,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3843,THOMSON HILLS ESTATE,THOMSON TERRACE,999,Resale,1.0,3100000.0,-,2202.0,Land,-,1408.0,Apr-2020,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
3844,LANDED HOUSING DEVELOPMENT,JALAN TANAH PUTEH,999,Resale,1.0,4650000.0,-,3306.0,Land,-,1407.0,Jul-2021,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3845,LANDED HOUSING DEVELOPMENT,EE TEOW LENG ROAD,999,Resale,1.0,2630000.0,-,1869.0,Land,-,1407.0,Aug-2020,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
3846,SEMBAWANG SPRINGS ESTATE,JALAN KEMUNING,999,Resale,1.0,2420000.0,-,1720.0,Land,-,1407.0,Dec-2018,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
3847,HENRY PARK,MOUNT SINAI LANE,863,Resale,1.0,8900000.0,-,6327.0,Land,-,1407.0,Jul-2017,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3848,LANDED HOUSING DEVELOPMENT,LORONG 22 GEYLANG,999,Resale,1.0,2330000.0,-,1656.0,Land,-,1407.0,Apr-2018,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3849,POH HUAT GARDENS,POH HUAT CRESCENT,861,Resale,1.0,2820000.0,-,2004.0,Land,-,1407.0,Oct-2020,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
3850,OPERA ESTATE,RIENZI STREET,999,Resale,1.0,1960000.0,-,1393.0,Land,-,1407.0,Feb-2018,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3851,LANDED HOUSING DEVELOPMENT,CORONATION DRIVE,853,Resale,1.0,6600000.0,-,4692.0,Land,-,1407.0,Oct-2018,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3852,SUNBIRD PARK,SUNBIRD ROAD,999,Resale,1.0,2275000.0,-,1617.0,Land,-,1407.0,Nov-2017,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3853,BRADDELL HEIGHTS ESTATE,CHILTERN DRIVE,999,Resale,1.0,8650000.0,-,6153.0,Land,-,1406.0,May-2021,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3854,SERANGOON GARDEN ESTATE,BORTHWICK DRIVE,933,Resale,1.0,3928000.0,-,2794.0,Land,-,1406.0,Aug-2021,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
3855,LUCKY PARK,LEMON AVENUE,999,Resale,1.0,4800000.0,-,3413.0,Land,-,1406.0,Sep-2018,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3856,PEOPLE'S GARDEN,LORONG 7 REALTY PARK,854,Resale,1.0,2700000.0,-,1920.0,Land,-,1406.0,Sep-2018,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
3857,LANDED HOUSING DEVELOPMENT,SURIN AVENUE,999,Resale,1.0,5300000.0,-,3768.0,Land,-,1406.0,Aug-2020,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
3858,BEDOK PESARI,TAMAN BEDOK,999,Resale,1.0,2720000.0,-,1934.0,Land,-,1406.0,Jan-2021,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3859,STRATTON GREEN,STRATTON DRIVE,999,Resale,1.0,2770000.0,-,1970.0,Land,-,1406.0,Mar-2021,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
3860,LANDED HOUSING DEVELOPMENT,JOO CHIAT PLACE,999,Resale,1.0,2550000.0,-,1815.0,Land,-,1405.0,Jul-2020,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3861,DUNEARN ESTATE,DUNEARN ROAD,999,Resale,1.0,7500000.0,-,5339.0,Land,-,1405.0,Mar-2021,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3862,LANDED HOUSING DEVELOPMENT,ZEHNDER ROAD,999,Resale,1.0,4750000.0,-,3380.0,Land,-,1405.0,Jun-2018,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3863,HAUS@SERANGOON GARDEN,SERANGOON GARDEN PLACE,89,Sub Sale,1.0,2550000.0,-,1815.0,Land,-,1405.0,Apr-2017,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
3864,LANDED HOUSING DEVELOPMENT,JALAN LABU MERAH,999,Resale,1.0,2480000.0,-,1765.0,Land,-,1405.0,Nov-2020,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
3865,KING'S GARDEN,KING'S CLOSE,853,Resale,1.0,6130000.0,-,4362.0,Land,-,1405.0,Oct-2017,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3866,NIM COLLECTION,NIM RISE,94,New Sale,1.0,2768000.0,-,1970.0,Land,-,1405.0,Mar-2018,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
3867,NIM COLLECTION,NIM RISE,94,New Sale,1.0,2768000.0,-,1970.0,Land,-,1405.0,Mar-2018,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
3868,SUMMERLEA GREEN,KISMIS ROAD,73,Resale,1.0,2300000.0,-,1637.0,Land,-,1405.0,Aug-2021,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
3869,LANDED HOUSING DEVELOPMENT,MULBERRY AVENUE,999,Resale,1.0,2600000.0,-,1850.0,Land,-,1405.0,Jan-2021,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3870,LANDED HOUSING DEVELOPMENT,PEBBLE LANE,999,Resale,1.0,3180000.0,-,2263.0,Land,-,1405.0,Jun-2017,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3871,THOMSON GARDEN ESTATE,JALAN HARI RAYA,999,Resale,1.0,1688000.0,-,1201.0,Land,-,1405.0,Nov-2017,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
3872,LANDED HOUSING DEVELOPMENT,HAIG LANE,999,Resale,1.0,5180000.0,-,3686.0,Land,-,1405.0,Jul-2021,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3873,MACPHERSON GARDEN ESTATE,JALAN SETIA,999,Resale,1.0,1900000.0,-,1352.0,Land,-,1405.0,Jun-2018,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3874,SUMMERLEA GREEN,KISMIS GREEN,73,Resale,1.0,2357500.0,-,1679.0,Land,-,1404.0,Sep-2021,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
3875,LANDED HOUSING DEVELOPMENT,MOONBEAM WALK,863,Resale,1.0,5500000.0,-,3918.0,Land,-,1404.0,Dec-2018,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3876,LANDED HOUSING DEVELOPMENT,ROSYTH ROAD,999,Resale,1.0,2330000.0,-,1660.0,Land,-,1404.0,Apr-2021,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
3877,SUNRISE VILLA,SUNRISE TERRACE,999,Resale,1.0,2350000.0,-,1674.0,Land,-,1404.0,Apr-2018,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
3878,KINGSVILLE,KING'S ROAD,77,Resale,1.0,3400000.0,-,2422.0,Land,-,1404.0,Jul-2018,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3879,STRAITS GARDENS,ANDREWS TERRACE,999,Resale,1.0,2266666.0,-,1615.0,Land,-,1404.0,Sep-2019,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
3880,MERA TERRACE,SEAGULL WALK,999,Resale,1.0,3030000.0,-,2158.0,Land,-,1404.0,Dec-2020,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3881,LANDED HOUSING DEVELOPMENT,JOO HONG ROAD,999,Resale,1.0,2835000.0,-,2019.0,Land,-,1404.0,Dec-2017,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
3882,LANDED HOUSING DEVELOPMENT,ENG KONG PLACE,999,Resale,1.0,2500000.0,-,1781.0,Land,-,1403.0,Apr-2018,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
3883,LANDED HOUSING DEVELOPMENT,JALAN RIANG,999,Resale,1.0,2318000.0,-,1652.0,Land,-,1403.0,Aug-2017,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3884,TEACHER'S HOUSING ESTATE,TAGORE AVENUE,863,Resale,1.0,3450000.0,-,2460.0,Land,-,1403.0,Oct-2021,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
3885,SERANGOON GARDEN ESTATE,CONISTON GROVE,934,Resale,1.0,2580000.0,-,1838.0,Land,-,1403.0,May-2017,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
3886,SELETAR GARDEN,CACTUS ROAD,999,Resale,1.0,2950000.0,-,2102.0,Land,-,1403.0,Jun-2021,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
3887,NIM COLLECTION,NIM RISE,94,New Sale,1.0,2762000.0,-,1970.0,Land,-,1402.0,Apr-2018,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
3888,LANDED HOUSING DEVELOPMENT,NAMLY HILL,999,Resale,1.0,11300000.0,-,8058.0,Land,-,1402.0,May-2017,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3889,NIM COLLECTION,NIM RISE,94,New Sale,1.0,2762000.0,-,1970.0,Land,-,1402.0,Mar-2018,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
3890,FRANKEL ESTATE,BOWMONT GARDENS,999,Resale,1.0,2350000.0,-,1676.0,Land,-,1402.0,Oct-2020,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3891,LANDED HOUSING DEVELOPMENT,TAMAN MAS MERAH,999,Resale,1.0,2300000.0,-,1640.0,Land,-,1402.0,Dec-2019,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3892,LANDED HOUSING DEVELOPMENT,KEW DRIVE,999,Resale,1.0,3680000.0,-,2625.0,Land,-,1402.0,Dec-2018,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3893,LANDED HOUSING DEVELOPMENT,JALAN BERJAYA,999,Resale,1.0,7850000.0,-,5601.0,Land,-,1402.0,Jan-2021,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
3894,VICTORIA PARK VILLAS,VICTORIA PARK GROVE,91,New Sale,1.0,8600000.0,-,6135.0,Land,-,1402.0,Sep-2017,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3895,LANDED HOUSING DEVELOPMENT,JOO CHIAT AVENUE,999,Resale,1.0,2330000.0,-,1662.0,Land,-,1402.0,Apr-2017,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3896,MUGLISTON HILL,MUGLISTON PARK,864,Resale,1.0,2595000.0,-,1850.0,Land,-,1402.0,Mar-2021,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
3897,SELETAR HILLS ESTATE,NIM DRIVE,857,Resale,1.0,6880000.0,-,4909.0,Land,-,1401.0,Aug-2020,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
3898,NIM COLLECTION,NIM RISE,94,New Sale,1.0,2760000.0,-,1970.0,Land,-,1401.0,Dec-2018,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
3899,SUNRISE VILLA,SUNRISE CLOSE,999,Resale,1.0,2400000.0,-,1713.0,Land,-,1401.0,Jan-2021,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
3900,SUMMER PLACE,SUMMER PLACE,999,Resale,1.0,2300000.0,-,1642.0,Land,-,1401.0,Nov-2018,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
3901,LENTOR VILLAS,LENTOR CRESCENT,999,Resale,1.0,3080000.0,-,2198.0,Land,-,1401.0,Feb-2018,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
3902,SANFORD PARK,SIRAT PLACE,999,Resale,1.0,2630000.0,-,1877.0,Land,-,1401.0,Dec-2019,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
3903,SENNETT ESTATE,LICHI AVENUE,999,Resale,1.0,2220000.0,-,1584.0,Land,-,1401.0,Jul-2020,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3904,NIM COLLECTION,NIM RISE,94,New Sale,1.0,2758888.0,-,1970.0,Land,-,1401.0,Aug-2018,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
3905,MUGLISTON HILL,MUGLISTON PARK,864,Resale,1.0,2590000.0,-,1849.0,Land,-,1401.0,May-2021,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
3906,VISTA GARDEN,TOH TUCK CRESCENT,999,Resale,1.0,2350000.0,-,1678.0,Land,-,1400.0,Mar-2019,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
3907,LANDED HOUSING DEVELOPMENT,ONAN ROAD,999,Resale,1.0,2180000.0,-,1558.0,Land,-,1400.0,Sep-2020,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3908,LANDED HOUSING DEVELOPMENT,CORONATION ROAD WEST,853,Resale,1.0,4900000.0,-,3499.0,Land,-,1400.0,May-2018,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3909,SERANGOON GARDEN ESTATE,CHARTWELL DRIVE,932,Resale,1.0,5880000.0,-,4200.0,Land,-,1400.0,Nov-2020,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
3910,BAN GUAN PARK,GREENLEAF PLACE,999,Resale,1.0,5100000.0,-,3644.0,Land,-,1400.0,May-2017,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3911,LANDED HOUSING DEVELOPMENT,CORONATION ROAD WEST,999,Resale,1.0,14250000.0,-,10176.0,Land,-,1400.0,Jul-2021,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3912,SERANGOON GARDEN ESTATE,HYTHE ROAD,933,Resale,1.0,5208000.0,-,3720.0,Land,-,1400.0,May-2021,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
3913,LANDED HOUSING DEVELOPMENT,BROADRICK ROAD,999,Resale,1.0,18101452.0,-,12930.0,Land,-,1400.0,May-2021,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3914,NIM COLLECTION,NIM RISE,94,New Sale,1.0,2758000.0,-,1970.0,Land,-,1400.0,Aug-2018,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
3915,OPERA ESTATE,RIENZI STREET,999,Resale,1.0,1950000.0,-,1393.0,Land,-,1400.0,Aug-2019,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3916,SEVEN OAKS,OLD HOLLAND ROAD,999,Resale,1.0,23200000.0,-,16569.0,Land,-,1400.0,Apr-2021,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3917,LANDED HOUSING DEVELOPMENT,JALAN TELITI,999,Resale,1.0,4000000.0,-,2858.0,Land,-,1400.0,Oct-2020,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
3918,LANDED HOUSING DEVELOPMENT,MOUNT SINAI AVENUE,863,Resale,1.0,6000000.0,-,4289.0,Land,-,1399.0,Apr-2018,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3919,LANDED HOUSING DEVELOPMENT,JOO HONG ROAD,999,Resale,1.0,2338000.0,-,1672.0,Land,-,1399.0,Aug-2018,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
3920,OPERA ESTATE,LAKME TERRACE,999,Resale,1.0,2300000.0,-,1644.0,Land,-,1399.0,Jun-2017,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3921,LANDED HOUSING DEVELOPMENT,PARRY AVENUE,864,Resale,1.0,3400000.0,-,2431.0,Land,-,1399.0,Mar-2018,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
